ISO3 code,Economy,Indicator code,Indicator name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ABW,Aruba,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.38,31.0297,34.7689,34.0492,33.56,35.151,39.4586,37.2949,35.0209,37.4584,39.2619,38.4625,36.8825,35.6193,38.4597,38.0002,39.1536,38.7836,39.7623,36.7427,40.598,38.5084,42.4137,37.0348,42.0351,39.109,37.5604,38.0454,38.5225,40.1615,40.5089,38.4658,39.7145,44.1978,,
ABW,Aruba,EG.ELC.ACCS.ZS,Access to electricity (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1785,97.3955,97.3268,97.6425,98.2872,97.2282,98.0905,97.2116,99.1158,99.5642,98.9099,100.0,98.8158,98.8749,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
ABW,Aruba,CC.EST,Control of Corruption: Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2252,1.1155,1.2526,0.8181,1.2978,0.9512,1.1165,1.0256,1.0046,1.2993,1.1038,1.2016,1.1543,1.2172,1.1692,1.006,1.2795,1.1007,0.9732,1.1086,1.3401,1.262,1.1181,1.1181,1.1214,1.4092,1.2058,1.2116,1.2836,1.1886,1.1289,1.1364,1.1514,1.1555,,
ABW,Aruba,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9774,55.8839,56.8249,55.5249,55.6839,52.4887,56.7805,55.8457,56.743,50.8216,58.2185,54.7966,56.5882,53.2861,55.6851,53.1058,53.6703,57.397,54.1599,54.6921,55.5911,54.9495,54.3516,54.5934,57.5711,53.7995,54.1076,55.302,55.3043,55.3465,54.4441,51.6915,55.7761,51.5265,,
ABW,Aruba,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9587,-1.6836,0.0417,1.024,1.0055,1.2569,4.2364,1.3359,-0.4083,2.6123,3.1758,-2.8669,1.6956,1.955,-0.5418,3.6414,-0.1731,0.516,-0.2306,0.241,-2.5386,-3.398,4.1883,-1.9153,-2.2764,-5.1814,-1.3953,-3.1056,4.3071,2.7266,-1.5183,5.8332,2.6565,-0.61,,
ABW,Aruba,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4022,6.7974,4.9571,4.8292,6.1632,6.8718,6.344,5.9339,5.9493,6.0786,6.0314,5.7925,5.704,5.6206,5.2749,5.5116,4.8054,5.6027,5.1576,5.1001,5.7419,6.3479,6.1111,4.8667,5.1571,6.1223,5.1607,5.5396,5.9269,5.1677,5.7046,4.9849,5.3512,5.8118,,
AFG,Afghanistan,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4607,10.6776,9.9074,11.2017,10.6945,13.125,10.7971,9.8379,11.0913,12.0833,11.2444,11.3779,10.0427,10.2709,8.9415,15.3958,9.559,10.8109,10.9099,14.2865,12.0568,15.2922,11.5997,13.6547,11.576,17.687,11.1715,14.3163,15.1142,14.8243,13.7761,14.037,14.5343,14.3027,,
AFG,Afghanistan,EG.ELC.ACCS.ZS,Access to electricity (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0726,93.3199,91.3555,90.9556,92.2308,94.6152,92.1585,94.3627,94.6436,93.1086,94.2566,95.3542,93.9981,94.3886,94.3361,94.2396,94.782,94.5723,95.8287,95.4355,96.4885,95.3067,97.0662,97.7183,95.7065,97.8507,98.7836,97.0837,99.6395,98.8867,98.2374,99.0068,99.7481,99.6123,,
AFG,Afghanistan,CC.EST,Control of Corruption: Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5702,0.3951,0.5259,0.3359,0.4922,0.3971,0.4173,0.6539,0.6365,0.5787,0.3745,0.4676,0.6511,0.5226,0.7839,0.5528,0.5286,0.4685,0.5216,0.4873,0.5905,0.6204,0.4113,0.3458,0.2852,0.5665,0.3732,0.2472,0.5522,0.8047,0.5048,0.6062,0.5154,0.4937,,
AFG,Afghanistan,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5648,64.6708,65.4273,65.4287,63.864,66.2742,64.4437,63.4926,65.3509,63.1185,64.4284,64.2925,65.855,64.8582,64.0286,65.2128,65.9915,64.6629,63.7617,61.6984,61.9885,63.0483,62.5119,63.0657,63.3511,63.9807,63.0004,63.7559,63.0429,59.903,61.3772,62.49,60.8116,63.4461,,
