Unnamed: 0,rank,discipline,yrs.since.phd,yrs.service,sex,salary,salary_in_lakhs
1,Prof,B,19,18,Male,139750,1.3975
2,Prof,B,20,16,Male,173200,1.732
3,AsstProf,B,4,3,Male,79750,0.7975
4,Prof,B,45,39,Male,115000,1.15
5,Prof,B,40,41,Male,141500,1.415
6,AssocProf,B,6,6,Male,97000,0.97
7,Prof,B,30,23,,175000,1.75
8,Prof,B,45,45,Male,147765,1.47765
9,Prof,B,21,20,Male,119250,1.1925
10,Prof,B,18,18,Female,129000,1.29
11,AssocProf,B,12,8,Male,119800,1.198
12,AsstProf,B,7,2,Male,79800,0.798
13,,B,1,,Male,77700,0.777
14,AsstProf,B,2,0,Male,78000,0.78
15,,B,,18,Male,104800,1.048
16,Prof,B,45,45,Male,147765,1.47765
17,Prof,B,12,3,Male,117150,1.1715
18,Prof,B,19,20,Male,101000,1.01
19,Prof,A,38,34,Male,103450,1.0345
20,Prof,A,37,23,Male,124750,1.2475
21,Prof,A,39,36,Female,137000,1.37
22,Prof,A,31,26,Male,89565,0.89565
23,Prof,A,36,31,Male,102580,1.0258
24,Prof,A,34,30,Male,93904,0.93904
25,Prof,A,24,19,Male,113068,1.13068
26,AssocProf,A,13,8,Female,74830,0.7483
27,Prof,A,21,8,Male,106294,1.06294
28,Prof,A,35,23,Male,134885,1.34885
29,AsstProf,B,5,3,Male,82379,0.82379
30,AsstProf,B,11,0,Male,77000,0.77
31,Prof,B,12,8,Male,118223,1.18223
32,Prof,B,20,4,Male,132261,1.32261
33,AsstProf,B,7,2,Male,79916,0.79916
34,Prof,B,13,9,Male,117256,1.17256
35,AsstProf,B,4,2,Male,80225,0.80225
36,AsstProf,B,4,2,Female,80225,0.80225
37,AsstProf,B,5,0,Female,77000,0.77
38,Prof,B,22,21,Male,155750,1.5575
39,AsstProf,B,7,4,Male,86373,0.86373
40,Prof,B,41,31,Male,125196,1.25196
41,AssocProf,B,9,9,Male,100938,1.00938
42,Prof,B,23,2,Male,146500,1.465
43,AssocProf,B,23,23,Male,93418,0.93418
44,Prof,B,40,27,Male,101299,1.01299
45,Prof,B,38,38,Male,231545,2.31545
46,Prof,B,19,19,Male,94384,0.94384
47,Prof,B,25,15,Male,114778,1.14778
48,Prof,B,40,28,Male,98193,0.98193
49,Prof,B,23,19,Female,151768,1.51768
50,Prof,B,25,25,Female,140096,1.40096
51,AsstProf,B,7,4,Male,86373,0.86373
52,AsstProf,B,1,1,Male,70768,0.70768
53,Prof,B,28,28,Male,126621,1.26621
54,Prof,B,12,11,Male,108875,1.08875
55,AsstProf,B,11,3,Female,74692,0.74692
56,Prof,B,16,9,Male,106639,1.06639
57,AssocProf,B,12,11,Male,103760,1.0376
58,AssocProf,B,14,5,Male,83900,0.839
59,Prof,B,23,21,Male,117704,1.17704
60,AssocProf,B,9,8,Male,90215,0.90215
61,AssocProf,B,10,9,Male,100135,1.00135
62,AsstProf,B,8,3,Male,75044,0.75044
63,AssocProf,B,9,8,Male,90304,0.90304
64,AsstProf,B,3,2,Male,75243,0.75243
65,Prof,B,33,31,Male,109785,1.09785
66,AssocProf,B,11,11,Female,103613,1.03613
67,AsstProf,B,4,3,Male,68404,0.68404
68,AssocProf,B,9,8,Male,100522,1.00522
69,Prof,B,22,12,Male,101000,1.01
70,Prof,B,35,31,Male,99418,0.99418
71,Prof,B,17,17,Female,111512,1.11512
72,Prof,B,28,36,Male,91412,0.91412
73,Prof,B,17,2,Male,126320,1.2632
74,Prof,B,45,45,Male,146856,1.46856
75,Prof,B,29,19,Male,100131,1.00131
76,Prof,B,22,12,Male,101000,1.01
77,Prof,B,35,34,Male,92391,0.92391
78,Prof,B,28,23,Male,113398,1.13398
79,AsstProf,B,8,3,Male,73266,0.73266
80,Prof,B,17,3,Male,150480,1.5048
81,Prof,B,26,19,Male,193000,1.93
82,AsstProf,B,3,1,Male,86100,0.861
83,AsstProf,B,6,2,Male,84240,0.8424
84,Prof,B,43,28,Male,150743,1.50743
85,Prof,B,17,16,Male,135585,1.35585
86,Prof,B,22,20,Male,144640,1.4464
87,AsstProf,B,6,2,Male,88825,0.88825
88,Prof,B,17,18,Female,122960,1.2296
89,Prof,B,15,14,Male,132825,1.32825
90,Prof,B,37,37,Male,152708,1.52708
91,AsstProf,B,2,2,Male,88400,0.884
92,Prof,B,25,25,Male,172272,1.72272
93,AssocProf,B,9,7,Male,107008,1.07008
94,AsstProf,B,10,5,Female,97032,0.97032
95,AssocProf,B,10,7,Male,105128,1.05128
96,AssocProf,B,10,7,Male,105631,1.05631
97,Prof,B,38,38,Male,166024,1.66024
98,Prof,B,21,20,Male,123683,1.23683
99,AsstProf,B,4,0,Male,84000,0.84
100,AssocProf,B,17,12,Male,95611,0.95611
101,Prof,B,13,7,Male,129676,1.29676
102,Prof,B,30,14,Male,102235,1.02235
103,Prof,B,41,26,Male,106689,1.06689
104,Prof,B,42,25,Male,133217,1.33217
105,Prof,B,28,23,Male,126933,1.26933
106,Prof,B,16,5,Male,153303,1.53303
107,Prof,B,20,14,Female,127512,1.27512
108,AssocProf,A,18,10,Male,83850,0.8385
109,Prof,A,31,28,Male,113543,1.13543
110,AssocProf,A,11,8,Male,82099,0.82099
111,AssocProf,A,10,8,Male,82600,0.826
112,AssocProf,A,15,8,Male,81500,0.815
113,Prof,A,40,31,Male,131205,1.31205
114,Prof,A,20,16,Male,112429,1.12429
115,AssocProf,A,19,16,Male,82100,0.821
116,AsstProf,A,3,1,Male,72500,0.725
117,Prof,A,37,37,Male,104279,1.04279
118,Prof,A,12,0,Female,105000,1.05
119,Prof,A,21,9,Male,120806,1.20806
120,Prof,A,30,29,Male,148500,1.485
121,Prof,A,39,36,Male,117515,1.17515
122,AsstProf,A,4,1,Male,72500,0.725
123,AsstProf,A,5,3,Female,73500,0.735
124,Prof,A,14,14,Male,115313,1.15313
125,Prof,A,32,32,Male,124309,1.24309
126,Prof,A,24,22,Male,97262,0.97262
127,AssocProf,A,25,22,Female,62884,0.62884
128,Prof,A,24,22,Male,96614,0.96614
129,Prof,A,54,49,Male,78162,0.78162
130,Prof,A,28,26,Male,155500,1.555
131,AsstProf,A,2,0,Female,72500,0.725
132,Prof,A,32,30,Male,113278,1.13278
133,AsstProf,A,4,2,Male,73000,0.73
134,AssocProf,A,11,9,Male,83001,0.83001
135,Prof,A,56,57,Male,76840,0.7684
136,AssocProf,A,10,8,Female,77500,0.775
